chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[1200:1249],24,1200,1249,,,reference,0.8843239999666874,0.7,0.3,True,0.7679380005332974,0.7,0.3,True,0.20751033839723235,0.7,0.3,True,0.23595691391733126,0.7,0.3,True,0.42630387417674037,0.7,0.3,False
[1250:1299],25,1250,1299,,,reference,0.6990843221670947,0.7,0.3,False,0.6850318309421578,0.7,0.3,False,0.2381983054846194,0.7,0.3,True,0.25849576832249505,0.7,0.3,True,0.4079250663759722,0.7,0.3,False
[1300:1349],26,1300,1349,,,reference,0.8388121142502021,0.7,0.3,True,0.7744490876602365,0.7,0.3,True,0.24163242050521386,0.7,0.3,True,0.27436812068301586,0.7,0.3,True,0.5385690493357608,0.7,0.3,False
[1350:1399],27,1350,1399,,,reference,0.8330968255420276,0.7,0.3,True,0.7928594527848625,0.7,0.3,True,0.22522228690524826,0.7,0.3,True,0.2278952579418519,0.7,0.3,True,0.4759553548866191,0.7,0.3,False
[1400:1449],28,1400,1449,,,reference,0.878316110710147,0.7,0.3,True,0.7557281596976932,0.7,0.3,True,0.19319342551219484,0.7,0.3,True,0.23317273014891415,0.7,0.3,True,0.47839581940148057,0.7,0.3,False
[1450:1499],29,1450,1499,,,reference,0.7002565246389886,0.7,0.3,True,0.5952847145562422,0.7,0.3,False,0.16169380190539126,0.7,0.3,True,0.1967803678141432,0.7,0.3,True,0.48603166499591655,0.7,0.3,False
[1500:1549],30,1500,1549,,,reference,0.8078836378921157,0.7,0.3,True,0.7733340585732977,0.7,0.3,True,0.2685989464586007,0.7,0.3,True,0.3187746867277765,0.7,0.3,False,0.47952997612255815,0.7,0.3,False
[1550:1599],31,1550,1599,,,reference,0.8154077556195171,0.7,0.3,True,0.8054891788476308,0.7,0.3,True,0.22269761916533895,0.7,0.3,True,0.17618893608972666,0.7,0.3,True,0.4982771919235987,0.7,0.3,False
[1600:1649],32,1600,1649,,,reference,0.8809620949255913,0.7,0.3,True,0.849809437959579,0.7,0.3,True,0.15209972214224535,0.7,0.3,True,0.2206846910482684,0.7,0.3,True,0.4584336484624433,0.7,0.3,False
[1650:1699],33,1650,1699,,,reference,0.8003986749651023,0.7,0.3,True,0.8308951519738024,0.7,0.3,True,0.2259921199390375,0.7,0.3,True,0.2214598980104536,0.7,0.3,True,0.4726891285071737,0.7,0.3,False
[1700:1749],34,1700,1749,,,reference,0.8437555280956255,0.7,0.3,True,0.8427498363005761,0.7,0.3,True,0.19316049660553342,0.7,0.3,True,0.20197803622646976,0.7,0.3,True,0.4677389169602988,0.7,0.3,False
[1750:1799],35,1750,1799,,,reference,0.7847149812192001,0.7,0.3,True,0.8297598045063415,0.7,0.3,True,0.21089124608361176,0.7,0.3,True,0.1872937985928453,0.7,0.3,True,0.4158986023553052,0.7,0.3,False
[1800:1849],36,1800,1849,,,reference,0.8009747779533409,0.7,0.3,True,0.9226681050585875,0.7,0.3,True,0.21068778714416025,0.7,0.3,True,0.16723923011996064,0.7,0.3,True,0.44977279481155935,0.7,0.3,False
[1850:1899],37,1850,1899,,,reference,0.8056500142173723,0.7,0.3,True,0.8443575265203285,0.7,0.3,True,0.2275885661020755,0.7,0.3,True,0.19053050110378209,0.7,0.3,True,0.47584179266931126,0.7,0.3,False
[1900:1949],38,1900,1949,,,reference,0.8003595825225374,0.7,0.3,True,0.8347178094933838,0.7,0.3,True,0.24910506591684028,0.7,0.3,True,0.22236344592477036,0.7,0.3,True,0.47793016052817305,0.7,0.3,False
[1950:1999],39,1950,1999,,,reference,0.8035515392980592,0.7,0.3,True,0.8596098626810067,0.7,0.3,True,0.27567233907432714,0.7,0.3,True,0.23272636490995308,0.7,0.3,True,0.41493478995693056,0.7,0.3,False
[2000:2049],40,2000,2049,,,reference,0.7506201961882522,0.7,0.3,True,0.708646658590779,0.7,0.3,True,0.23551776005883995,0.7,0.3,True,0.19476500229758015,0.7,0.3,True,0.4608164207532187,0.7,0.3,False
[2050:2099],41,2050,2099,,,reference,0.845134228249582,0.7,0.3,True,0.775224302612297,0.7,0.3,True,0.17219437192638506,0.7,0.3,True,0.17262161874148382,0.7,0.3,True,0.4732475329748815,0.7,0.3,False
[2100:2149],42,2100,2149,,,reference,0.9002030983519432,0.7,0.3,True,0.774760931884756,0.7,0.3,True,0.17034874508864734,0.7,0.3,True,0.2710255965874471,0.7,0.3,True,0.4099388605588464,0.7,0.3,False
[2150:2199],43,2150,2199,,,reference,0.845134228249582,0.7,0.3,True,0.7841553478399437,0.7,0.3,True,0.2548707943149821,0.7,0.3,True,0.2491989248295592,0.7,0.3,True,0.47779759378700903,0.7,0.3,False
[2200:2249],44,2200,2249,,,reference,0.8357042824862286,0.7,0.3,True,0.7083969191152126,0.7,0.3,True,0.295221527846639,0.7,0.3,True,0.18022734529392312,0.7,0.3,True,0.47263617731489826,0.7,0.3,False
[2250:2299],45,2250,2299,,,reference,0.9002030983519432,0.7,0.3,True,0.7804087297972803,0.7,0.3,True,0.29711998423412883,0.7,0.3,True,0.22872870388431013,0.7,0.3,True,0.4750168697365957,0.7,0.3,False
